feature,importance
composite_adv,0.0
epa_diff,0.0
dvoa_proxy_diff,0.0
home_off_epa_play_form,0.0
away_off_epa_play_form,0.0
home_def_epa_play_form,0.0
away_def_epa_play_form,0.0
home_off_success_form,0.0
away_off_success_form,0.0
home_def_success_form,0.0
away_def_success_form,0.0
home_off_explosive_rate_form,0.0
away_off_explosive_rate_form,0.0
home_def_explosive_rate_form,0.0
away_def_explosive_rate_form,0.0
home_off_rz_td_rate_form,0.0
away_off_rz_td_rate_form,0.0
home_off_third_down_rate_form,0.0
away_off_third_down_rate_form,0.0
home_def_pressure_rate_form,0.0
away_def_pressure_rate_form,0.0
home_sack_rate_diff_form,0.0
away_sack_rate_diff_form,0.0
home_turnover_diff_form,0.0
away_turnover_diff_form,0.0
home_sos,0.0
away_sos,0.0
home_elo_pre,0.0
away_elo_pre,0.0
rest_diff,0.0
hfa,0.0
is_dome,0.0
temp,0.0
wind,0.0
market_home_prob,0.0
spread_line,0.0
home_injury_impact,0.0
away_injury_impact,0.0
home_qb_injury,0.0
away_qb_injury,0.0
