feature,source,proxy,n_games,n_present,max_date_used,prediction_date,validation_status
home_off_epa_play_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_off_epa_play_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_def_epa_play_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_def_epa_play_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_off_success_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_off_success_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_def_success_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_def_success_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_off_dvoa_proxy,pbp:opp-adjusted-proxy,True,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
away_off_dvoa_proxy,pbp:opp-adjusted-proxy,True,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
home_def_dvoa_proxy,pbp:opp-adjusted-proxy,True,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
away_def_dvoa_proxy,pbp:opp-adjusted-proxy,True,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
home_elo_pre,elo:walk-forward,False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
away_elo_pre,elo:walk-forward,False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
home_sos,pbp:opponents-faced,False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
away_sos,pbp:opponents-faced,False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
hfa,schedule:location,False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
rest_diff,schedule:rest-days,False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
home_off_rz_td_rate_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_off_rz_td_rate_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_off_third_down_rate_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_off_third_down_rate_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_def_pressure_rate_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_def_pressure_rate_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_sack_rate_diff_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_sack_rate_diff_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
home_turnover_diff_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
away_turnover_diff_form,pbp:prior-team-games,False,1693,1677,2026-01-25 18:30:00,2020-09-17 20:20:00,PASS
spread_line,market:closing-line(pre-kickoff),False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
market_home_prob,market:closing-line(pre-kickoff),False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
home_injury_impact,injuries:weekly-report(pre-kickoff),False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
away_injury_impact,injuries:weekly-report(pre-kickoff),False,1693,1693,2026-01-25 18:30:00,2020-09-10 20:20:00,PASS
